MANDT,KURST,FCURR,TCURR,GDATU,UKURS,FFACT,TFACT
800,G,CAD,EUR,79849175,1.52170-,1,1
800,G,NZD,EUR,79849182,1.69260-,1,1
800,B,NZD,EUR,79849182,1.69430-,1,1
800,G,NZD,EUR,79849181,1.67960-,1,1
800,B,NZD,EUR,79849181,1.68130-,1,1
800,G,NZD,EUR,79849180,1.67670-,1,1
800,B,NZD,EUR,79849180,1.67840-,1,1
800,G,NZD,EUR,79849179,1.69360-,1,1
800,B,NZD,EUR,79849179,1.69510-,1,1
800,G,NZD,EUR,79849178,1.69060-,1,1
800,B,NZD,EUR,79849178,1.69080-,1,1
800,G,NZD,EUR,79849175,1.74820-,1,1
800,B,NZD,EUR,79849175,1.74970-,1,1
800,B,TWD,EUR,79849182,36.00160-,1,1
800,B,TWD,EUR,79849181,35.90050-,1,1
800,B,TWD,EUR,79849180,35.85340-,1,1
800,B,TWD,EUR,79849179,36.49380-,1,1
800,B,TWD,EUR,79849178,36.83110-,1,1
800,B,TWD,EUR,79849175,37.91690-,1,1
800,G,TWD,EUR,79849182,35.96970-,1,1
800,G,TWD,EUR,79849181,35.87190-,1,1
800,G,TWD,EUR,79849180,35.82160-,1,1
800,G,TWD,EUR,79849179,36.46170-,1,1
800,G,TWD,EUR,79849178,36.80530-,1,1
800,G,TWD,EUR,79849175,37.88730-,1,1
800,B,AUD,EUR,79849182,1.50690-,1,1
800,B,AUD,EUR,79849181,1.50600-,1,1
800,B,AUD,EUR,79849180,1.50240-,1,1
800,B,AUD,EUR,79849179,1.53010-,1,1
800,B,AUD,EUR,79849178,1.53580-,1,1
800,B,AUD,EUR,79849175,1.59120-,1,1
800,G,AUD,EUR,79849182,1.50680-,1,1
800,G,AUD,EUR,79849181,1.50590-,1,1
800,G,AUD,EUR,79849180,1.50210-,1,1
800,G,AUD,EUR,79849179,1.52990-,1,1
800,G,AUD,EUR,79849178,1.53560-,1,1
800,G,AUD,EUR,79849175,1.59090-,1,1
800,B,SEK,EUR,79849181,9.42540-,1,1
800,B,SEK,EUR,79849180,9.45960-,1,1
800,B,SEK,EUR,79849179,9.49700-,1,1
800,B,SEK,EUR,79849178,9.53470-,1,1
800,B,SEK,EUR,79849175,9.51080-,1,1
