MANDT,KURST,FCURR,TCURR,GDATU,UKURS,FFACT,TFACT
800,EURX,BRL,EUR,79839894,4.30230-,1,1
800,EURX,CNY,EUR,79839894,7.00740-,1,1
800,EURX,BRL,EUR,79839893,4.33310-,1,1
800,EURX,CNY,EUR,79839893,7.03880-,1,1
800,EURX,BRL,EUR,79839892,4.40010-,1,1
800,EURX,CNY,EUR,79839892,7.16720-,1,1
800,EURX,BRL,EUR,79839891,4.36850-,1,1
800,EURX,CNY,EUR,79839891,7.15770-,1,1
800,EURX,CNY,EUR,79839888,7.15540-,1,1
800,EURX,CNY,EUR,79839887,7.12760-,1,1
800,EURX,CNY,EUR,79839886,7.11210-,1,1
800,EURX,CNY,EUR,79839885,7.18090-,1,1
800,EURX,CNY,EUR,79839884,7.18880-,1,1
800,EURX,CNY,EUR,79839881,7.16580-,1,1
800,EURX,CNY,EUR,79839880,7.14960-,1,1
800,EURX,CNY,EUR,79839879,7.17680-,1,1
800,EURX,CNY,EUR,79839878,7.16660-,1,1
800,EURX,CNY,EUR,79839877,7.11040-,1,1
800,EURX,CNY,EUR,79839781,7.22420-,1,1
800,EURX,CNY,EUR,79839780,7.23780-,1,1
800,EURX,CNY,EUR,79839777,7.19090-,1,1
800,EURX,CNY,EUR,79839776,7.18140-,1,1
800,EURX,CNY,EUR,79839775,7.17940-,1,1
800,EURX,CNY,EUR,79839774,7.20260-,1,1
800,EURX,CNY,EUR,79839773,7.19540-,1,1
800,EURX,CNY,EUR,79839770,7.13510-,1,1
800,EURX,CNY,EUR,79839698,7.12300-,1,1
800,EURX,CNY,EUR,79839697,7.11250-,1,1
800,EURX,CNY,EUR,79839696,7.12980-,1,1
800,EURX,CNY,EUR,79839695,7.14800-,1,1
800,EURX,CNY,EUR,79839692,7.13810-,1,1
800,EURX,CNY,EUR,79839691,7.17440-,1,1
800,EURX,CNY,EUR,79839690,7.14660-,1,1
800,EURX,CNY,EUR,79839689,7.07870-,1,1
800,EURX,CNY,EUR,79839688,7.21190-,1,1
800,EURX,CNY,EUR,79839685,7.22300-,1,1
800,EURX,BRL,EUR,79839684,4.11910-,1,1
800,EURX,CNY,EUR,79839684,7.23360-,1,1
800,EURX,BRL,EUR,79839683,4.22240-,1,1
800,EURX,CNY,EUR,79839683,7.21800-,1,1
800,EURX,BRL,EUR,79839682,4.14380-,1,1
800,EURX,CNY,EUR,79839682,7.33170-,1,1
800,EURX,BRL,EUR,79839681,4.07940-,1,1
800,EURX,CNY,EUR,79839681,7.30370-,1,1
800,EURX,BRL,EUR,79839678,4.08970-,1,1
800,EURX,CNY,EUR,79839678,7.30280-,1,1
800,EURX,BRL,EUR,79839677,4.05260-,1,1
800,EURX,CNY,EUR,79839677,7.27910-,1,1
800,EURX,BRL,EUR,79839676,4.06000-,1,1
800,EURX,CNY,EUR,79839676,7.26480-,1,1
800,EURX,BRL,EUR,79839675,4.13160-,1,1
800,EURX,CNY,EUR,79839675,7.26620-,1,1
800,EURX,BRL,EUR,79839670,4.07950-,1,1
800,EURX,BRL,EUR,79839669,4.12750-,1,1
800,EURX,BRL,EUR,79839668,4.11740-,1,1
800,EURX,BRL,EUR,79839598,4.12960-,1,1
800,EURX,BRL,EUR,79839595,4.04200-,1,1
800,EURX,BRL,EUR,79839594,4.13950-,1,1
800,EURX,BRL,EUR,79839593,4.20000-,1,1
800,EURX,BRL,EUR,79839592,4.16170-,1,1
800,EURX,BRL,EUR,79839591,4.15540-,1,1
800,EURX,BRL,EUR,79839588,4.06470-,1,1
800,EURX,BRL,EUR,79839587,4.00340-,1,1
800,EURX,BRL,EUR,79839586,3.96900-,1,1
800,EURX,BRL,EUR,79839585,3.95860-,1,1
800,EURX,BRL,EUR,79839584,3.93870-,1,1
800,EURX,BRL,EUR,79839581,3.96060-,1,1
800,EURX,BRL,EUR,79839580,4.04080-,1,1
800,EURX,BRL,EUR,79839579,4.03620-,1,1
800,EURX,BRL,EUR,79839578,4.00430-,1,1
800,EURX,BRL,EUR,79839577,4.02180-,1,1
800,EURX,BRL,EUR,79839574,4.01680-,1,1
800,EURX,BRL,EUR,79839573,3.99430-,1,1
800,EURX,BRL,EUR,79839572,3.98260-,1,1
800,EURX,BRL,EUR,79839571,3.99070-,1,1
800,EURX,BRL,EUR,79839570,3.97380-,1,1
800,EURX,BRL,EUR,79839497,3.97310-,1,1
800,EURX,BRL,EUR,79839496,4.10200-,1,1
800,EURX,BRL,EUR,79839495,4.10910-,1,1
800,EURX,BRL,EUR,79839494,4.02820-,1,1
800,EURX,BRL,EUR,79839493,4.06500-,1,1
800,EURX,BRL,EUR,79839490,3.99710-,1,1
800,EURX,BRL,EUR,79839489,3.96470-,1,1
800,EURX,BRL,EUR,79839488,3.95170-,1,1
800,EURX,BRL,EUR,79839487,3.94190-,1,1
800,EURX,BRL,EUR,79839486,3.95590-,1,1
800,EURX,BRL,EUR,79839483,3.99990-,1,1
800,EURX,BRL,EUR,79839482,3.94510-,1,1
800,EURX,BRL,EUR,79839481,3.98910-,1,1
800,EURX,BRL,EUR,79839480,4.01460-,1,1
800,EURX,BRL,EUR,79839479,3.97970-,1,1
800,EURX,BRL,EUR,79839476,3.98320-,1,1
800,EURX,BRL,EUR,79839475,3.96390-,1,1
800,EURX,BRL,EUR,79839474,3.96810-,1,1
800,EURX,BRL,EUR,79839473,4.00040-,1,1
800,EURX,BRL,EUR,79839472,4.03100-,1,1
800,EURX,BRL,EUR,79839469,4.01480-,1,1
800,EURX,BRL,EUR,79839468,3.98500-,1,1
800,EURX,BRL,EUR,79839398,4.02110-,1,1
800,EURX,BRL,EUR,79839397,4.02350-,1,1
800,EURX,BRL,EUR,79839396,3.99730-,1,1
800,EURX,BRL,EUR,79839393,3.99340-,1,1
800,EURX,BRL,EUR,79849782,3.23950-,1,1
800,EURX,BRL,EUR,79849781,3.21950-,1,1
800,EURX,BRL,EUR,79849780,3.24520-,1,1
800,EURX,BRL,EUR,79849779,3.24320-,1,1
800,EURX,BRL,EUR,79849776,3.27290-,1,1
800,EURX,BRL,EUR,79849775,3.25180-,1,1
800,EURX,BRL,EUR,79849774,3.23950-,1,1
800,EURX,BRL,EUR,79849773,3.22640-,1,1
800,EURX,BRL,EUR,79849772,3.25790-,1,1
800,EURX,BRL,EUR,79849697,3.21330-,1,1
800,EURX,BRL,EUR,79849696,3.25360-,1,1
800,EURX,BRL,EUR,79849695,3.29990-,1,1
800,EURX,BRL,EUR,79849694,3.30090-,1,1
800,EURX,BRL,EUR,79849693,3.29490-,1,1
800,EURX,BRL,EUR,79849690,3.36200-,1,1
800,EURX,BRL,EUR,79849689,3.36900-,1,1
800,EURX,BRL,EUR,79849688,3.31020-,1,1
800,EURX,BRL,EUR,79849687,3.30310-,1,1
800,EURX,BRL,EUR,79849686,3.38930-,1,1
800,EURX,BRL,EUR,79849683,3.41070-,1,1
800,EURX,BRL,EUR,79849682,3.47960-,1,1
800,EURX,BRL,EUR,79849681,3.42830-,1,1
800,EURX,BRL,EUR,79849680,3.47400-,1,1
800,EURX,BRL,EUR,79849679,3.52200-,1,1
800,EURX,BRL,EUR,79849676,3.49630-,1,1
800,EURX,BRL,EUR,79849675,3.42020-,1,1
800,EURX,BRL,EUR,79849674,3.43340-,1,1
800,EURX,BRL,EUR,79849673,3.49040-,1,1
800,EURX,BRL,EUR,79849672,3.48460-,1,1
800,EURX,BRL,EUR,79849669,3.56160-,1,1
800,EURX,BRL,EUR,79849668,3.49580-,1,1
800,EURX,BRL,EUR,79849598,3.39940-,1,1
800,EURX,BRL,EUR,79849597,3.43070-,1,1
800,EURX,BRL,EUR,79849592,3.39790-,1,1
800,EURX,BRL,EUR,79849591,3.36760-,1,1
800,EURX,BRL,EUR,79849590,3.26810-,1,1
800,EURX,BRL,EUR,79849589,3.26390-,1,1
800,EURX,BRL,EUR,79849586,3.26940-,1,1
800,EURX,BRL,EUR,79849585,3.28570-,1,1
800,EURX,BRL,EUR,79849584,3.26610-,1,1
800,EURX,BRL,EUR,79849583,3.23120-,1,1
800,EURX,BRL,EUR,79849582,3.25620-,1,1
800,EURX,BRL,EUR,79849579,3.27280-,1,1
800,EURX,BRL,EUR,79849578,3.24230-,1,1
800,EURX,BRL,EUR,79849577,3.24610-,1,1
800,EURX,BRL,EUR,79849576,3.23280-,1,1
800,EURX,BRL,EUR,79849575,3.21830-,1,1
800,EURX,BRL,EUR,79849572,3.20230-,1,1
800,EURX,BRL,EUR,79849571,3.17860-,1,1
800,EURX,BRL,EUR,79849570,3.24670-,1,1
800,EURX,BRL,EUR,79849569,3.32320-,1,1
800,EURX,BRL,EUR,79849495,3.43120-,1,1
800,EURX,BRL,EUR,79849494,3.43180-,1,1
