MANDT,KURST,FCURR,TCURR,GDATU,UKURS,FFACT,TFACT
800,EURX,USD,EUR,79869179,1.33840-,1,1
800,EURX,USD,EUR,79869191,1.33595-,1,1
800,EURX,USD,EUR,79869192,1.32935-,1,1
800,EURX,USD,EUR,79869193,1.32715-,1,1
800,EURX,USD,EUR,79869194,1.32715-,1,1
800,EURX,USD,EUR,79869197,1.32000-,1,1
800,EURX,USD,EUR,79869198,1.32335-,1,1
800,EURX,USD,EUR,79869268,1.32535-,1,1
800,EURX,USD,EUR,79869269,1.32675-,1,1
800,EURX,USD,EUR,79869270,1.32875-,1,1
800,EURX,USD,EUR,79869273,1.32715-,1,1
800,EURX,USD,EUR,79869275,1.32350-,1,1
800,EURX,USD,EUR,79869276,1.31725-,1,1
800,EURX,USD,EUR,79869277,1.31830-,1,1
800,EURX,USD,EUR,79869280,1.31105-,1,1
800,EURX,USD,EUR,79869281,1.31005-,1,1
800,EURX,USD,EUR,79869282,1.31455-,1,1
800,EURX,USD,EUR,79869283,1.31110-,1,1
800,EURX,USD,EUR,79869287,1.30425-,1,1
800,EURX,USD,EUR,79869288,1.30560-,1,1
800,EURX,USD,EUR,79869289,1.28200-,1,1
800,EURX,USD,EUR,79869290,1.28625-,1,1
800,EURX,USD,EUR,79869291,1.28510-,1,1
800,EURX,USD,EUR,79869294,1.28820-,1,1
800,EURX,USD,EUR,79869295,1.30040-,1,1
800,EURX,USD,EUR,79869296,1.29595-,1,1
800,EURX,USD,EUR,79869297,1.30285-,1,1
800,EURX,USD,EUR,79869298,1.30440-,1,1
800,EURX,USD,EUR,79869371,1.30680-,1,1
800,EURX,USD,EUR,79869372,1.30215-,1,1
800,EURX,USD,EUR,79869373,1.30205-,1,1
800,EURX,USD,EUR,79869374,1.31290-,1,1
800,EURX,USD,EUR,79869375,1.31085-,1,1
800,EURX,USD,EUR,79869378,1.32145-,1,1
800,EURX,USD,EUR,79869379,1.31945-,1,1
800,EURX,USD,EUR,79869380,1.33915-,1,1
800,EURX,USD,EUR,79869381,1.33805-,1,1
800,EURX,USD,EUR,79869382,1.33415-,1,1
800,EURX,USD,EUR,79869385,1.33185-,1,1
800,EURX,USD,EUR,79869386,1.33300-,1,1
800,EURX,USD,EUR,79869387,1.32825-,1,1
800,EURX,USD,EUR,79869388,1.32695-,1,1
800,EURX,USD,EUR,79869389,1.32195-,1,1
800,EURX,USD,EUR,79869392,1.32505-,1,1
800,EURX,USD,EUR,79869393,1.31130-,1,1
800,EURX,USD,EUR,79869394,1.30630-,1,1
800,EURX,USD,EUR,79869395,1.30875-,1,1
800,EURX,USD,EUR,79869396,1.30155-,1,1
800,EURX,USD,EUR,79869468,1.29915-,1,1
800,EURX,USD,EUR,79869469,1.29845-,1,1
800,EURX,USD,EUR,79869470,1.29345-,1,1
800,EURX,USD,EUR,79869471,1.29295-,1,1
800,EURX,USD,EUR,79869472,1.29465-,1,1
800,EURX,USD,EUR,79869475,1.29575-,1,1
800,EURX,USD,EUR,79869476,1.28865-,1,1
800,EURX,USD,EUR,79869477,1.29305-,1,1
800,EURX,USD,EUR,79869478,1.28665-,1,1
800,EURX,USD,EUR,79869479,1.28635-,1,1
800,EURX,USD,EUR,79869482,1.28595-,1,1
800,EURX,USD,EUR,79869483,1.28665-,1,1
800,EURX,USD,EUR,79869484,1.28590-,1,1
800,EURX,USD,EUR,79869485,1.29610-,1,1
800,EURX,USD,EUR,79869486,1.29835-,1,1
800,EURX,USD,EUR,79869489,1.29995-,1,1
800,EURX,USD,EUR,79869490,1.31525-,1,1
800,EURX,USD,EUR,79869491,1.31270-,1,1
800,EURX,USD,EUR,79869492,1.31195-,1,1
800,EURX,USD,EUR,79869493,1.31005-,1,1
800,EURX,USD,EUR,79869496,1.31195-,1,1
800,EURX,USD,EUR,79869497,1.31675-,1,1
800,EURX,USD,EUR,79869498,1.31940-,1,1
800,EURX,USD,EUR,79869569,1.30750-,1,1
800,EURX,USD,EUR,79869570,1.30830-,1,1
800,EURX,USD,EUR,79869573,1.30050-,1,1
800,EURX,USD,EUR,79869574,1.30710-,1,1
800,EURX,USD,EUR,79869575,1.30195-,1,1
800,EURX,USD,EUR,79869576,1.29830-,1,1
800,EURX,USD,EUR,79869577,1.30390-,1,1
