MANDT,BUKRS,BELNR,GJAHR,BLART,BLDAT,BUDAT,MONAT,CPUDT,CPUTM,AEDAT,UPDDT,WWERT,USNAM,TCODE,BVORG,XBLNR,DBBLG,STBLG,STJAH,BKTXT,WAERS,KURSF,KZWRS,KZKRS,BSTAT,XNETB,FRATH,XRUEB,GLVOR,GRPID,DOKID,ARCID,IBLAR,AWTYP,AWKEY,FIKRS,HWAER,HWAE2,HWAE3,KURS2,KURS3,BASW2,BASW3,UMRD2,UMRD3,XSTOV,STODT,XMWST,CURT2,CURT3,KUTY2,KUTY3,XSNET,AUSBK,XUSVR,DUEFL,AWSYS,TXKRS,CTXKRS,LOTKZ,XWVOF,STGRD,PPNAM,BRNCH,NUMPG,ADISC,XREF1_HD,XREF2_HD,XREVERSAL,REINDAT,RLDNR,LDGRP,PROPMANO,XBLNR_ALT,VATDATE,DOCCAT,XSPLIT,CASH_ALLOC,FOLLOW_ON,XREORG,SUBSET,KURST,KURSX,KUR2X,KUR3X,XMCA,RESUBMISSION,/SAPF15/STATUS,PSOTY,PSOAK,PSOKS,PSOSG,PSOFN,INTFORM,INTDATE,PSOBT,PSOZL,PSODT,PSOTM,FM_UMART,CCINS,CCNUM,SSBLK,BATCH,SNAME,SAMPLED,EXCLUDE_FLAG,BLIND,OFFSET_STATUS,OFFSET_REFER_DAT,PENRC,KNUMV
800,3000,0100070170,2021,WE,20210423,20210423,04,20210423,202307,00000000,00000000,20210423,STUDENT117,MIGO_GR,,,,,0000,,USD,0.00000,,0.00000,,,0.00,,RMWE,,,,,MKPF,50000024752021,3000,USD,EUR,USD,1.17500,0.00000,2,2,3,3,,00000000,,30,40,M,M,,,,,,0.00000,0.00000,,,,,,000,,,,,00000000,,,,,00000000,,,,,,,M,0.00000000000000,0.00000000000000,0.00000000000000,,00000000,,,,,,,,00000000,00000000,,00000000,000000,,,,,,,,,,,00000000,,
800,1000,0100000120,2021,SA,20210426,20210430,04,20210426,041925,00000000,00000000,20210430,STUDENT027,KSU5,,,,,0000,UML27 20210101Umlage Bera,EUR,0.00000,,0.00000,,,0.00,,COFI,,,,,COBK,06000681671000,1000,EUR,EUR,USD,0.00000,1.09000,2,2,3,3,,00000000,,30,40,M,M,,,,,,0.00000,0.00000,,,,,,000,,,,,00000000,,,,,00000000,,,,,,COFI,M,0.00000000000000,0.00000000000000,0.00000000000000,,00000000,,,,,,,,00000000,00000000,,00000000,000000,,,,,,,,,,,00000000,,
800,1000,0100000121,2021,SA,20210426,20210430,04,20210426,042601,00000000,00000000,20210430,STUDENT027,KSU5,,,,,0000,UML27 20210101Umlage Bera,EUR,0.00000,,0.00000,,,0.00,,COFI,,,,,COBK,06000681681000,1000,EUR,EUR,USD,0.00000,1.09000,2,2,3,3,,00000000,,30,40,M,M,,,,,,0.00000,0.00000,,,,,,000,,,,,00000000,,,,,00000000,,,,,,COFI,M,0.00000000000000,0.00000000000000,0.00000000000000,,00000000,,,,,,,,00000000,00000000,,00000000,000000,,,,,,,,,,,00000000,,
800,1000,0100000017,2021,WA,20210305,20210305,03,20210305,142344,00000000,00000000,20210305,STUDENT031,CO11N,,,,,0000,,EUR,0.00000,,0.00000,,,0.00,,RMRU,,,,,MKPF,49000000682021,1000,EUR,EUR,USD,0.00000,1.09000,2,2,3,3,,00000000,,30,40,M,M,,,,,,0.00000,0.00000,,,,,,000,,,,,00000000,,,,,00000000,,,,,,,M,0.00000000000000,0.00000000000000,0.00000000000000,,00000000,,,,,,,,00000000,00000000,,00000000,000000,,,,,,,,,,,00000000,,
800,1000,0100000122,2021,SA,20210426,20210430,04,20210426,043418,00000000,00000000,20210430,STUDENT027,KSU5,,,,,0000,UML27 20210101Umlage Bera,EUR,0.00000,,0.00000,,,0.00,,COFI,,,,,COBK,06000681691000,1000,EUR,EUR,USD,0.00000,1.09000,2,2,3,3,,00000000,,30,40,M,M,,,,,,0.00000,0.00000,,,,,,000,,,,,00000000,,,,,00000000,,,,,,COFI,M,0.00000000000000,0.00000000000000,0.00000000000000,,00000000,,,,,,,,00000000,00000000,,00000000,000000,,,,,,,,,,,00000000,,
800,1000,0100000123,2021,SA,20210426,20210430,04,20210426,044026,00000000,00000000,20210430,STUDENT027,KSU5,,,,,0000,UML27 20210101Umlage Bera,EUR,0.00000,,0.00000,,,0.00,,COFI,,,,,COBK,06000681701000,1000,EUR,EUR,USD,0.00000,1.09000,2,2,3,3,,00000000,,30,40,M,M,,,,,,0.00000,0.00000,,,,,,000,,,,,00000000,,,,,00000000,,,,,,COFI,M,0.00000000000000,0.00000000000000,0.00000000000000,,00000000,,,,,,,,00000000,00000000,,00000000,000000,,,,,,,,,,,00000000,,
800,1000,0100000018,2021,WE,20210305,20210305,03,20210305,142916,00000000,00000000,20210305,STUDENT031,MIGO_GO,,,,,0000,,EUR,0.00000,,0.00000,,,0.00,,RMWF,,,,,MKPF,50000023662021,1000,EUR,EUR,USD,0.00000,1.09000,2,2,3,3,,00000000,,30,40,M,M,,,,,,0.00000,0.00000,,,,,,000,,,,,00000000,,,,,00000000,,,,,,,M,0.00000000000000,0.00000000000000,0.00000000000000,,00000000,,,,,,,,00000000,00000000,,00000000,000000,,,,,,,,,,,00000000,,
800,GR78,1900000001,2020,KR,20200515,20200515,05,20200515,140111,00000000,00000000,20200515,STUDENT024,FB60,1900000001GR7820,,,,0000,,EUR,0.00000,,0.00000,,,0.00,,RFBU,,,,,BKPF,1900000001GR782020,,EUR,EUR,GBP,0.00000,0.83333,2,2,3,3,,00000000,X,30,40,M,M,,,,,,0.00000,0.00000,,,,,,000,,,,,00000000,,,,,00000000,,,,,,,M,0.00000000000000,0.00000000000000,0.00000000000000,,00000000,,,,,,,,00000000,00000000,,00000000,000000,,,,,,,,,,,00000000,,
800,GR77,1900000000,2020,KR,20200515,20200515,05,20200515,140111,00000000,00000000,20200515,STUDENT024,FB60,1900000001GR7820,,,,0000,,EUR,0.00000,,0.00000,,,0.00,,RFBU,,,,,BKPF,1900000001GR782020,,EUR,EUR,GBP,0.00000,0.83333,2,2,3,3,,00000000,X,30,40,M,M,,GR78,,,,0.00000,0.00000,,,,,,000,,,,,00000000,,,,,00000000,,,,,,,M,0.00000000000000,0.00000000000000,0.00000000000000,,00000000,,,,,,,,00000000,00000000,,00000000,000000,,,,,,,,,,,00000000,,
800,GR78,1800000003,2020,DR,20200515,20200515,05,20200515,140803,00000000,00000000,20200515,STUDENT024,FB70,,,,,0000,,EUR,0.00000,,0.00000,,,0.00,,RFBU,,,,,BKPF,1800000003GR782020,,EUR,EUR,GBP,0.00000,0.83333,2,2,3,3,,00000000,X,30,40,M,M,,,,,,0.00000,0.00000,,,,,,000,,,,,00000000,,,,,00000000,,,,,,,M,0.00000000000000,0.00000000000000,0.00000000000000,,00000000,,,,,,,,00000000,00000000,,00000000,000000,,,,,,,,,,,00000000,,
